Row,Col,X,Y,Value
4,37,441170.18567254057,3264935.4813847123,180.54994
4,38,441257.49683623656,3264935.4813847123,145.41042
4,39,441344.80799993256,3264935.4813847123,149.94969
4,40,441432.11916362855,3264935.4813847123,-3.402823e+38
4,41,441519.43032732455,3264935.4813847123,128.5674
4,42,441606.74149102054,3264935.4813847123,158.38463
4,43,441694.05265471654,3264935.4813847123,189.9354
4,44,441781.36381841253,3264935.4813847123,189.85886
4,45,441868.6749821085,3264935.4813847123,186.2136
4,46,441955.9861458045,3264935.4813847123,186.6139
4,47,442043.2973095005,3264935.4813847123,184.84314
4,48,442130.6084731965,3264935.4813847123,174.95909
4,49,442217.9196368925,3264935.4813847123,166.84789
4,50,442305.2308005885,3264935.4813847123,107.70764
4,51,442392.5419642845,3264935.4813847123,111.050766
4,52,442479.8531279805,3264935.4813847123,94.66318
4,53,442567.1642916765,3264935.4813847123,101.508606
4,54,442654.4754553725,3264935.4813847123,146.11136
4,55,442741.7866190685,3264935.4813847123,140.33461
4,56,442829.09778276447,3264935.4813847123,144.87314
4,57,442916.40894646046,3264935.4813847123,141.03201
4,58,443003.72011015646,3264935.4813847123,142.36494
4,59,443091.03127385245,3264935.4813847123,56.442875
4,60,443178.34243754845,3264935.4813847123,48.441605
4,61,443265.65360124444,3264935.4813847123,48.84796
4,62,443352.96476494044,3264935.4813847123,49.319527
4,63,443440.27592863643,3264935.4813847123,48.75549
4,64,443527.5870923324,3264935.4813847123,46.816086
4,65,443614.8982560284,3264935.4813847123,40.21093
4,66,443702.2094197244,3264935.4813847123,36.40696
4,67,443789.5205834204,3264935.4813847123,35.63763
4,68,443876.8317471164,3264935.4813847123,32.63781
4,69,443964.1429108124,3264935.4813847123,30.54878
4,70,444051.4540745084,3264935.4813847123,-3.402823e+38
5,1,438026.98377948476,3264848.1702210167,147.90216
5,2,438114.29494318075,3264848.1702210167,229.56839
5,3,438201.60610687674,3264848.1702210167,296.46506
5,4,438288.91727057274,3264848.1702210167,277.80652
5,5,438376.22843426873,3264848.1702210167,311.65662
5,6,438463.53959796473,3264848.1702210167,305.13632
5,7,438550.8507616607,3264848.1702210167,303.0786
5,8,438638.1619253567,3264848.1702210167,311.38464
5,9,438725.4730890527,3264848.1702210167,292.0716
5,10,438812.7842527487,3264848.1702210167,279.36542
5,11,438900.0954164447,3264848.1702210167,273.66937
5,12,438987.4065801407,3264848.1702210167,257.0927
5,13,439074.7177438367,3264848.1702210167,255.52452
5,14,439162.0289075327,3264848.1702210167,251.35452
5,15,439249.3400712287,3264848.1702210167,287.57074
5,16,439336.6512349247,3264848.1702210167,287.8677
5,17,439423.9623986207,3264848.1702210167,237.56346
5,18,439511.27356231667,3264848.1702210167,234.1694
5,19,439598.58472601266,3264848.1702210167,255.07732
5,20,439685.89588970866,3264848.1702210167,236.62881
5,21,439773.20705340465,3264848.1702210167,240.89322
5,22,439860.51821710065,3264848.1702210167,216.41847
5,23,439947.82938079664,3264848.1702210167,209.8578
5,24,440035.14054449263,3264848.1702210167,174.02023
5,25,440122.45170818863,3264848.1702210167,173.8231
5,26,440209.7628718846,3264848.1702210167,186.46133
5,27,440297.0740355806,3264848.1702210167,205.70226
5,28,440384.3851992766,3264848.1702210167,302.1076
5,29,440471.6963629726,3264848.1702210167,317.67996
5,30,440559.0075266686,3264848.1702210167,-3.402823e+38
5,31,440646.3186903646,3264848.1702210167,-3.402823e+38
5,32,440733.6298540606,3264848.1702210167,-3.402823e+38
5,33,440820.9410177566,3264848.1702210167,-3.402823e+38
5,34,440908.2521814526,3264848.1702210167,-3.402823e+38
5,35,440995.5633451486,3264848.1702210167,-3.402823e+38
5,36,441082.8745088446,3264848.1702210167,-3.402823e+38
5,37,441170.18567254057,3264848.1702210167,148.04424
5,38,441257.49683623656,3264848.1702210167,172.49236
5,39,441344.80799993256,3264848.1702210167,144.7349
5,40,441432.11916362855,3264848.1702210167,-3.402823e+38
5,41,441519.43032732455,3264848.1702210167,-3.402823e+38
5,42,441606.74149102054,3264848.1702210167,124.620605
5,43,441694.05265471654,3264848.1702210167,128.82817
5,44,441781.36381841253,3264848.1702210167,153.28123
5,45,441868.6749821085,3264848.1702210167,109.69964
5,46,441955.9861458045,3264848.1702210167,110.6602
5,47,442043.2973095005,3264848.1702210167,139.63109
5,48,442130.6084731965,3264848.1702210167,125.78371
5,49,442217.9196368925,3264848.1702210167,120.82969
5,50,442305.2308005885,3264848.1702210167,165.17683
5,51,442392.5419642845,3264848.1702210167,130.98947
5,52,442479.8531279805,3264848.1702210167,91.42803
5,53,442567.1642916765,3264848.1702210167,84.78472
5,54,442654.4754553725,3264848.1702210167,116.30662
5,55,442741.7866190685,3264848.1702210167,108.63649
5,56,442829.09778276447,3264848.1702210167,118.116066
5,57,442916.40894646046,3264848.1702210167,114.6498
5,58,443003.72011015646,3264848.1702210167,135.22699
5,59,443091.03127385245,3264848.1702210167,138.66019
5,60,443178.34243754845,3264848.1702210167,124.75987
5,61,443265.65360124444,3264848.1702210167,119.546715
5,62,443352.96476494044,3264848.1702210167,80.854774
5,63,443440.27592863643,3264848.1702210167,85.51117
5,64,443527.5870923324,3264848.1702210167,87.49518
5,65,443614.8982560284,3264848.1702210167,97.270996
5,66,443702.2094197244,3264848.1702210167,88.75598
5,67,443789.5205834204,3264848.1702210167,69.387085
5,68,443876.8317471164,3264848.1702210167,68.48718
5,69,443964.1429108124,3264848.1702210167,71.611626
5,70,444051.4540745084,3264848.1702210167,-3.402823e+38
6,1,438026.98377948476,3264760.8590573203,197.54402
6,2,438114.29494318075,3264760.8590573203,292.15903
6,3,438201.60610687674,3264760.8590573203,282.85483
6,4,438288.91727057274,3264760.8590573203,273.42664
6,5,438376.22843426873,3264760.8590573203,257.72162
6,6,438463.53959796473,3264760.8590573203,301.3448
6,7,438550.8507616607,3264760.8590573203,238.75021
6,8,438638.1619253567,3264760.8590573203,334.82834
6,9,438725.4730890527,3264760.8590573203,290.35648
